hash,count
1861,1
1862,0
1863,1
1864,1
1865,1
1866,0
1867,0
1868,1
1869,0
1870,1
1871,0
1872,0
1873,1
1874,0
1875,3
1876,1
1877,0
1878,1
1879,0
1880,0
1881,1
1882,1
1883,1
1884,0
1885,0
1886,0
1887,2
1888,0
1889,1
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,1
1906,0
1907,0
1908,1
1909,3
1910,0
1911,1
1912,0
1913,1
1914,0
1915,0
1916,2
1917,0
1918,0
1919,0
1920,0
1921,1
1922,0
1923,2
1924,0
1925,0
1926,0
1927,1
1928,2
1929,0
1930,0
1931,0
1932,1
1933,0
1934,0
1935,0
1936,0
1937,1
1938,0
1939,1
1940,1
1941,0
1942,0
1943,0
1944,2
1945,0
1946,0
1947,1
1948,2
1949,1
1950,0
1951,1
1952,2
1953,1
1954,0
1955,1
1956,0
1957,0
1958,1
1959,1
1960,0
1961,2
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,1
1975,1
1976,2
1977,0
1978,0
1979,0
1980,0
1981,1
1982,1
1983,1
1984,0
1985,1
1986,0
1987,0
1988,2
1989,0
1990,0
1991,2
1992,2
1993,0
1994,0
1995,0
1996,1
1997,0
1998,0
1999,0
2000,0
2001,0
2002,1
2003,1
2004,1
2005,0
2006,1
2007,2
2008,2
2009,0
2010,0
2011,1
2012,2
2013,1
2014,2
2015,1
2016,2
2017,1
2018,3
2019,0
2020,1
2021,0
2022,1
2023,2
2024,2
2025,1
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,0
2034,0
2035,1
2036,0
2037,1
2038,0
2039,0
2040,1
2041,1
2042,0
2043,1
2044,0
2045,0
2046,1
2047,0
2048,0
2049,0
2050,2
2051,0
2052,0
2053,2
2054,0
2055,1
2056,1
2057,0
2058,1
2059,1
2060,1
2061,2
2062,0
2063,0
2064,2
2065,1
2066,1
2067,1
2068,1
2069,0
2070,0
2071,1
2072,1
2073,0
2074,1
2075,1
2076,0
2077,2
2078,0
2079,1
2080,0
2081,1
2082,0
2083,1
2084,2
2085,1
2086,1
2087,1
2088,0
2089,0
2090,1
2091,1
2092,0
2093,0
2094,0
2095,0
2096,0
2097,3
2098,0
2099,3
2100,0
2101,0
2102,2
2103,0
2104,1
2105,1
2106,2
2107,1
2108,1
2109,1
2110,2
2111,1
2112,3
2113,0
2114,0
2115,1
2116,0
2117,0
2118,3
2119,1
2120,1
2121,0
2122,0
2123,1
2124,2
2125,0
2126,0
2127,0
2128,0
2129,1
2130,0
2131,0
2132,3
2133,2
2134,1
2135,0
2136,0
2137,1
2138,0
2139,0
2140,0
2141,2
2142,0
2143,1
2144,0
2145,1
2146,0
2147,0
2148,3
2149,0
2150,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,0
2159,1
2160,1
2161,0
2162,1
2163,0
2164,0
2165,1
2166,1
2167,0
2168,0
2169,1
2170,1
2171,0
2172,0
2173,0
2174,1
2175,3
2176,0
2177,0
2178,1
2179,1
2180,2
2181,1
2182,1
2183,0
2184,0
2185,1
2186,2
2187,1
2188,1
2189,0
2190,0
2191,2
2192,0
2193,1
2194,0
2195,0
2196,0
2197,0
2198,0
2199,2
2200,0
2201,2
2202,0
2203,1
2204,1
2205,2
2206,0
2207,1
2208,2
2209,1
2210,1
2211,1
2212,1
2213,1
2214,0
2215,5
2216,0
2217,2
2218,1
2219,2
2220,0
2221,0
2222,2
2223,2
2224,0
2225,0
2226,2
2227,1
2228,2
2229,0
2230,0
2231,1
2232,1
2233,1
2234,0
2235,0
2236,0
2237,0
2238,2
2239,0
2240,0
2241,0
2242,0
2243,1
2244,0
2245,0
2246,0
2247,0
2248,0
2249,1
2250,1
2251,1
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,1
2259,0
2260,1
2261,1
2262,2
2263,0
2264,1
2265,0
2266,1
2267,0
2268,0
2269,0
2270,0
2271,0
2272,2
2273,1
2274,1
2275,1
2276,2
2277,0
2278,0
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,2
2286,2
2287,1
2288,5
2289,0
2290,0
2291,0
2292,1
2293,1
2294,0
2295,0
2296,0
2297,0
2298,1
2299,1
2300,0
2301,1
2302,2
2303,0
2304,1
2305,1
2306,2
2307,1
2308,0
2309,1
2310,0
2311,0
2312,0
2313,1
2314,0
2315,0
2316,0
2317,2
2318,1
2319,0
2320,0
2321,0
2322,2
2323,0
2324,0
2325,1
2326,0
2327,0
2328,1
2329,1
2330,0
2331,0
2332,0
2333,0
2334,1
2335,1
2336,1
2337,3
2338,1
2339,1
2340,2
2341,2
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,1
2353,1
2354,1
2355,1
2356,0
2357,0
2358,0
2359,0
2360,1
2361,1
2362,1
2363,0
2364,1
2365,2
2366,1
2367,0
2368,1
2369,2
2370,0
2371,1
2372,0
2373,1
2374,0
2375,0
2376,0
2377,0
2378,1
2379,0
2380,0
2381,1
2382,1
2383,1
2384,1
2385,0
2386,1
2387,1
2388,1
2389,0
2390,0
2391,1
2392,0
2393,0
2394,1
2395,2
2396,0
2397,0
2398,1
2399,0
2400,1
2401,2
2402,2
2403,0
2404,1
2405,3
2406,0
2407,0
2408,0
2409,0
2410,2
2411,0
2412,2
2413,4
2414,1
2415,1
2416,0
2417,0
2418,0
2419,1
2420,0
2421,0
2422,1
2423,2
2424,2
2425,1
2426,0
2427,3
2428,1
2429,0
2430,1
2431,0
2432,1
2433,0
2434,0
2435,1
2436,1
2437,1
2438,0
2439,1
2440,0
2441,0
2442,0
2443,2
2444,1
2445,0
2446,0
2447,1
2448,0
2449,0
2450,0
2451,1
2452,1
2453,1
2454,0
2455,2
2456,0
2457,1
2458,0
2459,2
2460,0
2461,0
2462,1
2463,2
2464,1
2465,1
2466,1
2467,0
2468,1
2469,0
2470,1
2471,0
2472,1
2473,0
2474,2
2475,0
2476,1
2477,1
2478,0
2479,1
2480,0
2481,0
2482,1
2483,2
2484,1
2485,2
2486,0
2487,3
2488,0
2489,0
2490,0
2491,1
2492,0
2493,0
2494,2
2495,1
2496,0
2497,1
2498,0
2499,0
2500,0
2501,0
2502,2
2503,1
2504,1
2505,2
2506,3
2507,0
2508,0
2509,0
2510,0
2511,1
2512,1
2513,0
2514,2
2515,1
2516,0
2517,3
2518,0
2519,0
2520,0
2521,1
2522,0
2523,0
2524,1
2525,0
2526,1
2527,4
2528,1
2529,1
2530,0
2531,1
2532,0
2533,0
2534,0
2535,0
2536,0
2537,0
2538,3
2539,0
2540,1
2541,0
2542,0
2543,0
2544,1
2545,0
2546,1
2547,1
2548,0
2549,1
2550,2
2551,0
2552,1
2553,1
2554,0
2555,1
2556,1
2557,0
2558,1
2559,3
2560,0
2561,1
2562,0
2563,0
2564,0
2565,2
2566,0
2567,1
2568,0
2569,0
2570,0
2571,1
2572,1
2573,1
2574,0
2575,0
2576,0
2577,0
2578,2
2579,0
2580,1
2581,0
2582,0
2583,0
2584,0
2585,0
2586,1
2587,1
2588,2
2589,1
2590,2
2591,0
2592,1
2593,1
2594,1
2595,1
2596,0
2597,1
2598,1
2599,1
2600,2
2601,0
2602,0
2603,0
2604,1
2605,0
2606,0
2607,1
2608,1
2609,0
2610,0
2611,1
2612,0
2613,2
2614,1
2615,0
2616,1
2617,0
2618,0
2619,0
2620,0
2621,1
2622,1
2623,1
2624,0
2625,0
2626,1
2627,1
2628,0
2629,1
2630,0
2631,0
2632,0
2633,0
2634,0
2635,0
2636,1
2637,1
2638,0
2639,0
2640,1
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,0
2650,0
2651,2
2652,1
2653,0
2654,1
2655,2
2656,1
2657,1
2658,3
2659,0
2660,0
2661,1
2662,1
2663,1
2664,0
2665,3
2666,1
2667,2
2668,0
2669,0
2670,1
2671,1
2672,1
2673,0
2674,0
2675,1
2676,0
2677,0
2678,1
2679,1
2680,0
2681,0
2682,0
2683,0
2684,0
2685,0
2686,0
2687,0
2688,1
2689,0
2690,0
2691,1
2692,0
2693,0
2694,0
2695,0
2696,0
2697,1
2698,1
2699,0
2700,1
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,1
2708,0
2709,0
2710,1
2711,1
2712,1
2713,1
2714,1
2715,0
2716,0
2717,0
2718,4
2719,1
2720,0
2721,1
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,1
2729,0
2730,1
2731,0
2732,0
2733,1
2734,1
2735,0
2736,1
2737,0
2738,1
2739,0
2740,0
2741,1
2742,2
2743,1
2744,1
2745,1
2746,2
2747,1
2748,0
2749,0
2750,0
2751,0
2752,0
2753,3
2754,0
2755,0
2756,2
2757,1
2758,2
2759,1
2760,0
2761,1
2762,2
2763,2
2764,0
2765,0
2766,2
2767,2
2768,0
2769,0
2770,0
2771,1
2772,0
2773,0
2774,1
2775,1
2776,1
2777,1
2778,1
2779,1
2780,0
2781,1
2782,0
2783,1
2784,1
2785,0
2786,0
2787,0
2788,2
2789,0
2790,0
2791,0
2792,1
2793,0
2794,1
2795,0
2796,0
2797,0
2798,0
2799,0
2800,0
2801,1
2802,1
2803,0
2804,0
2805,0
2806,1
2807,0
2808,0
2809,1
2810,0
2811,1
2812,0
2813,1
2814,0
2815,1
2816,1
2817,1
2818,0
2819,0
2820,0
2821,1
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,2
2829,0
2830,1
2831,1
2832,1
2833,1
2834,1
2835,1
2836,0
2837,1
2838,2
2839,1
2840,0
2841,0
2842,0
2843,0
2844,0
2845,0
2846,0
2847,0
2848,2
2849,1
2850,0
2851,0
2852,1
2853,2
2854,3
2855,1
2856,0
2857,0
2858,0
2859,0
2860,2
2861,0
2862,4
2863,0
2864,1
2865,1
2866,1
2867,0
2868,1
2869,0
2870,2
2871,1
2872,0
2873,0
2874,1
2875,1
2876,0
2877,2
2878,1
2879,1
2880,1
2881,0
2882,0
2883,0
2884,0
2885,0
2886,1
2887,1
2888,4
2889,0
2890,1
2891,1
2892,0
2893,0
2894,0
2895,1
2896,2
2897,0
2898,0
2899,0
2900,0
2901,2
2902,1
2903,0
2904,1
2905,3
2906,2
2907,2
2908,0
2909,0
2910,1
2911,2
2912,2
2913,1
2914,0
2915,0
2916,1
2917,1
2918,0
2919,1
2920,0
2921,1
2922,0
2923,1
2924,0
2925,0
2926,0
2927,0
2928,0
2929,1
2930,0
2931,2
2932,0
2933,1
2934,0
2935,0
2936,0
2937,0
2938,0
2939,0
2940,0
2941,0
2942,0
2943,0
2944,1
2945,0
2946,0
2947,0
2948,1
2949,0
2950,1
2951,0
2952,1
2953,0
2954,3
2955,1
2956,1
2957,1
2958,0
2959,0
2960,0
2961,1
2962,1
2963,1
2964,0
2965,1
2966,0
2967,2
2968,0
2969,0
2970,0
2971,0
2972,0
2973,2
2974,2
